Año: 2020 | Número de personas: 3 | Velocidad: 38.8 | Velocidad inicial: 42.3 | Velocidad máximo: 75.2 | Velocidad promedio: 38.8 | Ubicación: Municipio Baruta / El Hatillo | Tipo de vía: urbana | Zona donde vive: Municipio Baruta / El Hatillo | Entrada preferida: Acceso Distribuidor Metropolitano (Autopista) | Estilo de manejo: Prudente | reacción a situación externa (%): 45.3 | desvío (%): 22.3 | cambio de velocidad (%): 7.9 | Demora estimada (min): 0 | Tipo de Carro: Te traen en carro (Papás) | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: Sí | Hora de salir de la casa: 07:11 | Hora de llegar a la Unimet: 07:27 | Colegio Integral el Ávila: nan | tráfico estimado por los encuestados: de 8 a 10 a.m., de 10 a 12 a.m.
Año: 2020 | Número de personas: 1 | Velocidad: 38.8 | Velocidad inicial: 44.8 | Velocidad máximo: 79.7 | Velocidad promedio: 38.8 | Ubicación: La Urbina/El Marquez | Tipo de vía: urbana | Zona donde vive: La Urbina/El Marquez | Entrada preferida: Acceso Distribuidor Metropolitano (Autopista) | Estilo de manejo: Prudente | reacción a situación externa (%): 47.2 | desvío (%): 18.1 | cambio de velocidad (%): 6.2 | Demora estimada (min): 0 | Tipo de Carro: carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: No | Hora de salir de la casa: 07:35 | Hora de llegar a la Unimet: 07:51 | Colegio Integral el Ávila: nan | tráfico estimado por los encuestados: de 6 a 8 a.m.
Año: 2020 | Número de personas: 2 | Velocidad: 37.4 | Velocidad inicial: 34.7 | Velocidad máximo: 61.6 | Velocidad promedio: 37.4 | Ubicación: Municipo Chacao | Tipo de vía: urbana | Zona donde vive: Municipo Chacao | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Prudente | reacción a situación externa (%): 55.9 | desvío (%): 24.3 | cambio de velocidad (%): 6.8 | Demora estimada (min): 7.0 | Tipo de Carro: Te traen en carro (Papás) | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: Sí | Viene acompañado: Sí | Hora de salir de la casa: 07:51 | Hora de llegar a la Unimet: 08:07 | Colegio Integral el Ávila: No | tráfico estimado por los encuestados: de 10 a 12 a.m., de 12 a 2 p.m., de 2 a 4 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 32.0 | Velocidad inicial: 29.6 | Velocidad máximo: 52.6 | Velocidad promedio: 32.0 | Ubicación: Resto del Municipio Sucre | Tipo de vía: urbana | Zona donde vive: Resto del Municipio Sucre | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Prudente | reacción a situación externa (%): 50.7 | desvío (%): 12.0 | cambio de velocidad (%): 4.7 | Demora estimada (min): 0 | Tipo de Carro: Carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: No | Hora de salir de la casa: 07:10 | Hora de llegar a la Unimet: 07:29 | Colegio Integral el Ávila: Sí | tráfico estimado por los encuestados: de 8 a 10 a.m., de 10 a 12 a.m., de 12 a 2 p.m.
Año: 2020 | Número de personas: 2 | Velocidad: 32.4 | Velocidad inicial: 30.0 | Velocidad máximo: 53.3 | Velocidad promedio: 32.4 | Ubicación: Municipio Baruta / El Hatillo | Tipo de vía: urbana | Zona donde vive: Municipio Baruta / El Hatillo | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Prudente | reacción a situación externa (%): 49.6 | desvío (%): 30.4 | cambio de velocidad (%): 8.8 | Demora estimada (min): 0 | Tipo de Carro: Te traen en carro (Papás) | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: Sí | Hora de salir de la casa: 06:04 | Hora de llegar a la Unimet: 06:22 | Colegio Integral el Ávila: Sí | tráfico estimado por los encuestados: de 8 a 10 a.m., de 12 a 2 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 38.8 | Velocidad inicial: 37.4 | Velocidad máximo: 66.4 | Velocidad promedio: 38.8 | Ubicación: Resto del Municipio Sucre | Tipo de vía: urbana | Zona donde vive: Resto del Municipio Sucre | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Lento | reacción a situación externa (%): 50.3 | desvío (%): 22.8 | cambio de velocidad (%): 4.9 | Demora estimada (min): 24.6 | Tipo de Carro: Carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: Sí | Viene acompañado: No | Hora de salir de la casa: 08:09 | Hora de llegar a la Unimet: 08:25 | Colegio Integral el Ávila: Sí | tráfico estimado por los encuestados: de 8 a 10 a.m., de 10 a 12 a.m., de 12 a 2 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 38.8 | Velocidad inicial: 41.1 | Velocidad máximo: 73.0 | Velocidad promedio: 38.8 | Ubicación: Municipio Libertador | Tipo de vía: urbana | Zona donde vive: Municipio Libertador | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Prudente | reacción a situación externa (%): 60.4 | desvío (%): 19.2 | cambio de velocidad (%): 4.8 | Demora estimada (min): 0 | Tipo de Carro: carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: No | Hora de salir de la casa: 07:43 | Hora de llegar a la Unimet: 07:58 | Colegio Integral el Ávila: Sí | tráfico estimado por los encuestados: de 8 a 10 a.m., de 4 a 6 p.m.
Año: 2020 | Número de personas: 4 | Velocidad: 38.8 | Velocidad inicial: 38.2 | Velocidad máximo: 67.9 | Velocidad promedio: 38.8 | Ubicación: Carretera Panamericana | Tipo de vía: urbana | Zona donde vive: Carretera Panamericana | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Prudente | reacción a situación externa (%): 48.9 | desvío (%): 17.7 | cambio de velocidad (%): 7.0 | Demora estimada (min): 0 | Tipo de Carro: Te traen en carro (Papás) | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: Sí | Hora de salir de la casa: 07:24 | Hora de llegar a la Unimet: 07:40 | Colegio Integral el Ávila: Sí | tráfico estimado por los encuestados: de 8 a 10 a.m., de 12 a 2 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 38.8 | Velocidad inicial: 36.3 | Velocidad máximo: 64.6 | Velocidad promedio: 38.8 | Ubicación: Municipio Baruta / El Hatillo | Tipo de vía: urbana | Zona donde vive: Municipio Baruta / El Hatillo | Entrada preferida: Acceso Distribuidor Metropolitano (Autopista) | Estilo de manejo: Prudente | reacción a situación externa (%): 45.4 | desvío (%): 19.6 | cambio de velocidad (%): 4.5 | Demora estimada (min): 0 | Tipo de Carro: carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: No | Hora de salir de la casa: 07:17 | Hora de llegar a la Unimet: 07:32 | Colegio Integral el Ávila: nan | tráfico estimado por los encuestados: de 6 a 8 a.m., de 12 a 2 p.m., de 2 a 4 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 38.8 | Velocidad inicial: 36.4 | Velocidad máximo: 64.7 | Velocidad promedio: 38.8 | Ubicación: Municipio Baruta / El Hatillo | Tipo de vía: urbana | Zona donde vive: Municipio Baruta / El Hatillo | Entrada preferida: Acceso Distribuidor Metropolitano (Autopista) | Estilo de manejo: Prudente | reacción a situación externa (%): 57.0 | desvío (%): 11.0 | cambio de velocidad (%): 6.1 | Demora estimada (min): 0 | Tipo de Carro: carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: No | Hora de salir de la casa: 07:12 | Hora de llegar a la Unimet: 07:27 | Colegio Integral el Ávila: nan | tráfico estimado por los encuestados: de 10 a 12 a.m.
Año: 2020 | Número de personas: 2 | Velocidad: 38.8 | Velocidad inicial: 39.0 | Velocidad máximo: 69.4 | Velocidad promedio: 38.8 | Ubicación: Municipio Libertador | Tipo de vía: urbana | Zona donde vive: Municipio Libertador | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Prudente | reacción a situación externa (%): 39.9 | desvío (%): 17.0 | cambio de velocidad (%): 3.9 | Demora estimada (min): 0 | Tipo de Carro: Te traen en carro (Papás) | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: Sí | Hora de salir de la casa: 07:08 | Hora de llegar a la Unimet: 07:23 | Colegio Integral el Ávila: Sí | tráfico estimado por los encuestados: de 8 a 10 a.m., de 10 a 12 a.m., de 12 a 2 p.m.
